gene_id	CRR812470_output	CRR812471_output
HORVU.MOREX.r2.1HG0003220.1	0.518434	1.06153
HORVU.MOREX.r2.1HG0003230.1	0	0
HORVU.MOREX.r2.1HG0003240.1	0	0.104185
HORVU.MOREX.r2.1HG0003250.1	6.99315	10.3926
HORVU.MOREX.r2.1HG0003260.1	0	0
HORVU.MOREX.r2.1HG0003270.1	175.852	170.143
HORVU.MOREX.r2.1HG0003280.1	0.944926	0.362804
HORVU.MOREX.r2.1HG0003290.1	2.09683	4.3136
HORVU.MOREX.r2.1HG0003300.1	0	0
HORVU.MOREX.r2.1HG0003310.1	0	0
HORVU.MOREX.r2.1HG0003320.1	0	0
HORVU.MOREX.r2.1HG0003330.1	0	0
HORVU.MOREX.r2.1HG0003340.1	410.999	509.398
HORVU.MOREX.r2.1HG0003350.1	174.566	128.363
HORVU.MOREX.r2.1HG0003360.1	0.0672716	0
HORVU.MOREX.r2.1HG0003370.1	0	0
HORVU.MOREX.r2.1HG0003380.1	1.13273	3.04557
HORVU.MOREX.r2.1HG0003390.1	0	0
HORVU.MOREX.r2.1HG0003400.1	0.729518	0.261311
HORVU.MOREX.r2.1HG0003410.1	5.00215	9.8141
HORVU.MOREX.r2.1HG0003420.1	0.0816602	0.0217168
HORVU.MOREX.r2.1HG0003430.1	0	0
HORVU.MOREX.r2.1HG0003440.1	0	0
HORVU.MOREX.r2.1HG0003450.1	2.20298	2.24072
HORVU.MOREX.r2.1HG0003460.1	0.758622	0.793802
HORVU.MOREX.r2.1HG0003470.1	0	0.0232741
HORVU.MOREX.r2.1HG0003480.1	1.46837	4.06764
HORVU.MOREX.r2.1HG0003490.1	0	0
HORVU.MOREX.r2.1HG0003500.1	1.91126	3.97118
HORVU.MOREX.r2.1HG0003510.1	0	0
HORVU.MOREX.r2.1HG0003520.1	0	0
HORVU.MOREX.r2.1HG0003530.1	0	0
HORVU.MOREX.r2.1HG0003540.1	0	0
HORVU.MOREX.r2.1HG0003550.1	0	0
HORVU.MOREX.r2.1HG0003560.1	0	0
HORVU.MOREX.r2.1HG0003570.1	0	0
HORVU.MOREX.r2.1HG0003580.1	0	0
HORVU.MOREX.r2.1HG0003590.1	0	0
HORVU.MOREX.r2.1HG0003600.1	1.3604	5.82056
HORVU.MOREX.r2.1HG0003610.1	0	0
HORVU.MOREX.r2.1HG0003620.1	1.38327	3.46143
HORVU.MOREX.r2.1HG0003630.1	1.59202	1.78698
HORVU.MOREX.r2.1HG0003640.1	0.300836	3.81485
HORVU.MOREX.r2.1HG0003650.1	24.0213	41.8083
HORVU.MOREX.r2.1HG0003660.1	0	0
HORVU.MOREX.r2.1HG0003670.1	0	0
HORVU.MOREX.r2.1HG0003680.1	0	0
HORVU.MOREX.r2.1HG0003690.1	0.345702	0
HORVU.MOREX.r2.1HG0003700.1	0	0
HORVU.MOREX.r2.1HG0003710.1	0	0
HORVU.MOREX.r2.1HG0003720.1	0.114609	0.274409
HORVU.MOREX.r2.1HG0003730.1	0	0
HORVU.MOREX.r2.1HG0003740.1	8.86722	12.9378
HORVU.MOREX.r2.1HG0003750.1	56.6015	77.0428
HORVU.MOREX.r2.1HG0003760.1	7.0922	10.9184
HORVU.MOREX.r2.1HG0003770.1	1.0431	2.91061
HORVU.MOREX.r2.1HG0003780.1	0	0
HORVU.MOREX.r2.1HG0003790.1	0	0
