gene_id	yzy02_1	yzy01_3
A.satnudSFS1A01G000425.1	0	0
A.satnudSFS1A01G000426.1	11	20
A.satnudSFS1A01G000427.1	1385.59	1489.234
A.satnudSFS1A01G000428.1	2	1
A.satnudSFS1A01G000429.1	0	0
A.satnudSFS1A01G000430.1	0	0
A.satnudSFS1A01G000431.1	9	8
A.satnudSFS1A01G000432.1	449.28	521.037
A.satnudSFS1A01G000433.1	0	0
A.satnudSFS1A01G000434.1	0	0
A.satnudSFS1A01G000435.1	0	0
A.satnudSFS1A01G000436.1	0	0
A.satnudSFS1A01G000437.1	122.997	88.008
A.satnudSFS1A01G000438.1	59	57.242
A.satnudSFS1A01G000439.1	0	0
A.satnudSFS1A01G000440.1	86.131	43.24
A.satnudSFS1A01G000441.1	9.801	0
A.satnudSFS1A01G000442.1	693.556	636.62
A.satnudSFS1A01G000443.1	24	17
A.satnudSFS1A01G000444.1	0	0
A.satnudSFS1A01G000445.1	0	1.101
A.satnudSFS1A01G000446.1	0	4.898
A.satnudSFS1A01G000447.1	0	0
A.satnudSFS1A01G000448.1	0	3
A.satnudSFS1A01G000449.1	0	4
A.satnudSFS1A01G000450.1	5	2
A.satnudSFS1A01G000451.1	7	2
A.satnudSFS1A01G000452.1	1	0
A.satnudSFS1A01G000453.1	23	10
A.satnudSFS1A01G000454.1	3607.759	2251.781
A.satnudSFS1A01G000455.1	16	10
A.satnudSFS1A01G000456.1	1	8
A.satnudSFS1A01G000457.1	77	32
A.satnudSFS1A01G000458.1	5	5
A.satnudSFS1A01G000459.1	21.118	33.324
A.satnudSFS1A01G000460.1	0	1
A.satnudSFS1A01G000461.1	53.656	57.792
A.satnudSFS1A01G000462.1	0	0
A.satnudSFS1A01G000463.1	101.011	72.104
A.satnudSFS1A01G000464.1	0	0
A.satnudSFS1A01G000465.1	88.929	66.33
A.satnudSFS1A01G000466.1	78.369	29.648
A.satnudSFS1A01G000467.1	34	24
A.satnudSFS1A01G000468.1	1124.035	1322.978
A.satnudSFS1A01G000469.1	0	0
A.satnudSFS1A01G000470.1	0	0
A.satnudSFS1A01G000471.1	514.18	166
A.satnudSFS1A01G000472.1	0	0
A.satnudSFS1A01G000473.1	102.669	33.273
A.satnudSFS1A01G000474.1	11.855	10.584
A.satnudSFS1A01G000475.1	26	28
A.satnudSFS1A01G000476.1	17	19
A.satnudSFS1A01G000477.1	0	3
A.satnudSFS1A01G000478.1	1	0
A.satnudSFS1A01G000479.1	325.848	215.384
A.satnudSFS1A01G000480.1	0	0
A.satnudSFS1A01G000481.1	0	0
A.satnudSFS1A01G000482.1	85.622	198.997
A.satnudSFS1A01G000483.1	0	0
A.satnudSFS1A01G000484.1	265.084	399.405
A.satnudSFS1A01G000485.1	1437.155	1919.217
A.satnudSFS1A01G000486.1	40	33.288
A.satnudSFS1A01G000487.1	1	7.406
A.satnudSFS1A01G000488.1	0	0
A.satnudSFS1A01G000489.1	0	0.998
